year,state_fips,state_name,estimate
1970,01,Alabama,3444354
1971,01,Alabama,3497078
1972,01,Alabama,3539401
1973,01,Alabama,3579779
1974,01,Alabama,3626501
1975,01,Alabama,3678816
1976,01,Alabama,3735139
1977,01,Alabama,3780403
1978,01,Alabama,3831838
1979,01,Alabama,3866248
1980,01,Alabama,3893888
1981,01,Alabama,3918531
1982,01,Alabama,3925266
1983,01,Alabama,3934102
1984,01,Alabama,3951820
1985,01,Alabama,3972523
1986,01,Alabama,3991569
1987,01,Alabama,4015264
1988,01,Alabama,4023844
1989,01,Alabama,4030222
1990,01,Alabama,4048508
1991,01,Alabama,4091025
1992,01,Alabama,4139269
1993,01,Alabama,4193114
1994,01,Alabama,4232965
1995,01,Alabama,4262731
1996,01,Alabama,4290403
1997,01,Alabama,4320281
1998,01,Alabama,4351037
1999,01,Alabama,4369862
2000,01,Alabama,4452173
2001,01,Alabama,4467634
2002,01,Alabama,4480089
2003,01,Alabama,4503491
2004,01,Alabama,4530729
2005,01,Alabama,4569805
2006,01,Alabama,4628981
2007,01,Alabama,4672840
2008,01,Alabama,4718206
2009,01,Alabama,4757938
2010,01,Alabama,4785514
2011,01,Alabama,4799642
2012,01,Alabama,4816632
2013,01,Alabama,4831586
2014,01,Alabama,4843737
2015,01,Alabama,4854803
2016,01,Alabama,4866824
2017,01,Alabama,4877989
2018,01,Alabama,4891628
2019,01,Alabama,4907965
2020,01,Alabama,5031362
2021,01,Alabama,5049846
2022,01,Alabama,5074296
1970,02,Alaska,302583
1971,02,Alaska,315509
1972,02,Alaska,324465
1973,02,Alaska,330542
1974,02,Alaska,341062
1975,02,Alaska,376173
1976,02,Alaska,400968
1977,02,Alaska,403437
1978,02,Alaska,404764
1979,02,Alaska,402753
1980,02,Alaska,401851
1981,02,Alaska,418491
1982,02,Alaska,449606
1983,02,Alaska,488417
1984,02,Alaska,513702
1985,02,Alaska,532495
1986,02,Alaska,544268
1987,02,Alaska,539309
1988,02,Alaska,541983
1989,02,Alaska,547159
1990,02,Alaska,553120
1991,02,Alaska,569273
1992,02,Alaska,587073
1993,02,Alaska,596993
1994,02,Alaska,600624
1995,02,Alaska,601345
1996,02,Alaska,604918
1997,02,Alaska,608846
1998,02,Alaska,615205
1999,02,Alaska,619500
2000,02,Alaska,627963
2001,02,Alaska,633714
2002,02,Alaska,642337
2003,02,Alaska,648414
2004,02,Alaska,659286
2005,02,Alaska,666946
2006,02,Alaska,675302
2007,02,Alaska,680300
2008,02,Alaska,687455
2009,02,Alaska,698895
2010,02,Alaska,713982
2011,02,Alaska,722349
2012,02,Alaska,730810
2013,02,Alaska,737626
2014,02,Alaska,737075
2015,02,Alaska,738430
2016,02,Alaska,742575
2017,02,Alaska,740983
2018,02,Alaska,736624
2019,02,Alaska,733603
2020,02,Alaska,732923
2021,02,Alaska,734182
2022,02,Alaska,733583
1970,04,Arizona,1775399
1971,04,Arizona,1895816
1972,04,Arizona,2008290
1973,04,Arizona,2124438
1974,04,Arizona,2223198
1975,04,Arizona,2284850
1976,04,Arizona,2346158
1977,04,Arizona,2425197
1978,04,Arizona,2515318
1979,04,Arizona,2635570
1980,04,Arizona,2718215
1981,04,Arizona,2810107
1982,04,Arizona,2889861
1983,04,Arizona,2968925
1984,04,Arizona,3067135
1985,04,Arizona,3183538
1986,04,Arizona,3308262
1987,04,Arizona,3437103
1988,04,Arizona,3535183
1989,04,Arizona,3622185
1990,04,Arizona,3679056
1991,04,Arizona,3762394
1992,04,Arizona,3867333
1993,04,Arizona,3993390
1994,04,Arizona,4147561
1995,04,Arizona,4306908
1996,04,Arizona,4432308
1997,04,Arizona,4552207
1998,04,Arizona,4667277
1999,04,Arizona,4778332
2000,04,Arizona,5160586
2001,04,Arizona,5273477
2002,04,Arizona,5396255
2003,04,Arizona,5510364
2004,04,Arizona,5652404
2005,04,Arizona,5839077
2006,04,Arizona,6029141
2007,04,Arizona,6167681
2008,04,Arizona,6280362
2009,04,Arizona,6343154
2010,04,Arizona,6407342
2011,04,Arizona,6473416
2012,04,Arizona,6556344
2013,04,Arizona,6634690
2014,04,Arizona,6732873
2015,04,Arizona,6832810
2016,04,Arizona,6944767
2017,04,Arizona,7048088
2018,04,Arizona,7164228
2019,04,Arizona,7291843
2020,04,Arizona,7179943
2021,04,Arizona,7264877
2022,04,Arizona,7359197
1970,05,Arkansas,1923322
1971,05,Arkansas,1972312
1972,05,Arkansas,2018639
1973,05,Arkansas,2059258
1974,05,Arkansas,2101403
1975,05,Arkansas,2159525
1976,05,Arkansas,2170163
1977,05,Arkansas,2209010
1978,05,Arkansas,2243125
1979,05,Arkansas,2271335
1980,05,Arkansas,2286435
1981,05,Arkansas,2293201
1982,05,Arkansas,2294257
1983,05,Arkansas,2305761
1984,05,Arkansas,2319768
1985,05,Arkansas,2327046
1986,05,Arkansas,2331984
1987,05,Arkansas,2342355
1988,05,Arkansas,2342656
1989,05,Arkansas,2346358
1990,05,Arkansas,2354343
1991,05,Arkansas,2370666
1992,05,Arkansas,2394098
1993,05,Arkansas,2423743
1994,05,Arkansas,2450605
1995,05,Arkansas,2480121
1996,05,Arkansas,2504858
1997,05,Arkansas,2524007
1998,05,Arkansas,2538202
1999,05,Arkansas,2551373
2000,05,Arkansas,2678588
2001,05,Arkansas,2691571
2002,05,Arkansas,2705927
2003,05,Arkansas,2724816
2004,05,Arkansas,2749686
2005,05,Arkansas,2781097
2006,05,Arkansas,2821761
2007,05,Arkansas,2848650
2008,05,Arkansas,2874554
2009,05,Arkansas,2896843
2010,05,Arkansas,2921998
2011,05,Arkansas,2941038
2012,05,Arkansas,2952876
2013,05,Arkansas,2960459
2014,05,Arkansas,2968759
2015,05,Arkansas,2979732
2016,05,Arkansas,2991815
2017,05,Arkansas,3003855
2018,05,Arkansas,3012161
2019,05,Arkansas,3020985
2020,05,Arkansas,3014195
2021,05,Arkansas,3028122
2022,05,Arkansas,3045637
1970,06,California,19971069
1971,06,California,20345941
1972,06,California,20585473
1973,06,California,20868733
1974,06,California,21173871
1975,06,California,21537851
1976,06,California,21935913
1977,06,California,22352401
1978,06,California,22835963
1979,06,California,23256887
1980,06,California,23667902
1981,06,California,24285933
1982,06,California,24820009
1983,06,California,25360026
1984,06,California,25844393
1985,06,California,26441109
1986,06,California,27102237
1987,06,California,27777158
1988,06,California,28464249
1989,06,California,29218164
1990,06,California,29950111
1991,06,California,30414114
1992,06,California,30875920
1993,06,California,31147208
1994,06,California,31317179
1995,06,California,31493525
1996,06,California,31780829
1997,06,California,32217708
1998,06,California,32682794
1999,06,California,33145121
2000,06,California,33987977
2001,06,California,34479458
2002,06,California,34871843
2003,06,California,35253159
2004,06,California,35574576
2005,06,California,35827943
2006,06,California,36021202
2007,06,California,36250311
2008,06,California,36604337
2009,06,California,36961229
2010,06,California,37319550
2011,06,California,37636311
2012,06,California,37944551
2013,06,California,38253768
2014,06,California,38586706
2015,06,California,38904296
2016,06,California,39149186
2017,06,California,39337785
2018,06,California,39437463
2019,06,California,39437610
2020,06,California,39501653
2021,06,California,39142991
2022,06,California,39029342
1970,08,Colorado,2209596
1971,08,Colorado,2303524
1972,08,Colorado,2404621
1973,08,Colorado,2495872
1974,08,Colorado,2541405
1975,08,Colorado,2586193
1976,08,Colorado,2632304
1977,08,Colorado,2696142
1978,08,Colorado,2766748
1979,08,Colorado,2849234
1980,08,Colorado,2889964
1981,08,Colorado,2977898
1982,08,Colorado,3061564
1983,08,Colorado,3133630
1984,08,Colorado,3169992
1985,08,Colorado,3208723
1986,08,Colorado,3237450
1987,08,Colorado,3260480
1988,08,Colorado,3262281
1989,08,Colorado,3275818
1990,08,Colorado,3303862
1991,08,Colorado,3367567
1992,08,Colorado,3459995
1993,08,Colorado,3560884
1994,08,Colorado,3653910
1995,08,Colorado,3738061
1996,08,Colorado,3812716
1997,08,Colorado,3891293
1998,08,Colorado,3968967
1999,08,Colorado,4056133
2000,08,Colorado,4326921
2001,08,Colorado,4425687
2002,08,Colorado,4490406
2003,08,Colorado,4528732
2004,08,Colorado,4575013
2005,08,Colorado,4631888
